X;Y;STRUCTYPE
93;54;POLE
94;53;MAST
93;54;POLE
94;54;MAST
93;54;MAST
93;54;POLE
93;54;MAST
93;53;MAST
93;53;MAST
93;53;MAST
92;53;MAST
93;53;MAST
93;53;MAST
93;53;POLE
92;53;MAST
92;53;MAST
92;53;MAST
93;53;MAST
92;53;MAST
93;53;MAST
92;53;POLE
92;53;MAST
93;53;MAST
92;54;MAST
92;53;POLE
92;54;MAST
92;54;POLE
92;53;MAST
92;53;MAST
92;54;TANK
92;53;POLE
92;53;POLE
92;53;POLE
92;54;MAST
92;53;MAST
81;46;TOWER
65;61;TOWER
64;61;POLE
65;61;POLE
64;61;TOWER
64;62;POLE
64;61;TOWER
64;60;TOWER
65;60;POLE
66;61;TOWER
65;62;TOWER
70;57;MAST
70;57;MAST
69;57;TOWER
69;56;POLE
70;57;TOWER
70;57;TOWER
91;53;MAST
91;53;TOWER
91;53;MAST
91;53;TOWER
90;53;MAST
91;53;TOWER
91;53;MAST
91;53;MAST
91;53;TOWER
90;53;MAST
90;53;TOWER
91;53;TOWER
91;53;MAST
90;52;MAST
91;53;POLE
91;53;MAST
83;52;TOWER
82;52;TOWER
82;52;TOWER
82;52;TOWER
80;62;TOWER
78;62;TOWER
80;62;TOWER
79;62;MAST
80;62;MAST
80;62;TOWER
80;62;POLE
79;62;TOWER
79;62;TOWER
80;61;TOWER
81;61;TOWER
94;54;MAST
94;54;MAST
94;54;MAST
94;54;MAST
94;54;MAST
94;54;MAST
95;43;MAST
95;43;MAST
95;43;MAST
95;43;TOWER
95;43;B
95;43;POLE
55;53;MAST
55;53;MAST
54;54;MAST
54;53;POLE
55;54;POLE
54;53;POLE
55;53;MAST
55;53;MAST
54;59;POLE
52;59;MAST
53;59;POLE
53;58;POLE
55;59;POLE
54;59;POLE
54;59;MAST
91;54;POLE
92;54;POLE
92;53;MAST
85;53;N/A
85;53;TOWER
85;53;N/A
84;53;TOWER
84;53;TOWER
85;53;TOWER
85;53;TOWER
84;53;TOWER
83;53;TOWER
83;53;TOWER
82;53;MAST
83;53;MAST
83;53;TOWER
83;53;TOWER
84;53;TOWER
82;53;POLE
84;53;POLE
83;53;TOWER
83;53;MAST
82;53;TOWER
82;53;MAST
84;53;TOWER
83;52;TOWER
83;53;MAST
83;53;TOWER
82;53;MAST
83;52;MAST
83;51;TOWER
83;52;TOWER
83;51;TOWER
83;52;TOWER
84;52;MAST
83;52;MAST
83;52;TOWER
83;51;TOWER
83;51;TOWER
83;51;TOWER
84;52;MAST
83;52;MAST
83;52;MAST
83;52;MAST
83;52;MAST
83;52;MAST
83;52;TOWER
83;52;MAST
83;52;TOWER
85;52;TOWER
84;52;TOWER
84;52;TOWER
85;52;TOWER
85;51;TOWER
85;52;TOWER
84;52;MAST
86;51;TOWER
86;51;N/A
86;50;N/A
86;50;N/A
87;51;N/A
86;50;N/A
87;51;N/A
87;50;N/A
87;50;N/A
87;51;N/A
87;51;TOWER
86;51;TOWER
87;51;TOWER
87;51;POLE
86;50;TOWER
86;50;TOWER
17;36;MAST
17;36;POLE
17;36;POLE
17;36;TOWER
17;36;UPOLE
16;36;POLE
16;36;POLE
95;40;TOWER
95;40;TOWER
95;40;TOWER
94;55;MAST
94;42;TOWER
94;43;TOWER
94;43;TOWER
94;43;TOWER
94;42;TOWER
94;42;TOWER
94;43;TOWER
94;42;TOWER
93;43;B
94;43;TOWER
91;52;TOWER
91;52;TOWER
91;52;TOWER
91;52;TOWER
91;53;TOWER
92;53;TOWER
92;52;TOWER
91;52;TOWER
92;53;TOWER
92;52;TOWER
91;52;MAST
91;52;MAST
91;52;TOWER
91;52;TOWER
91;52;TOWER
91;52;TOWER
91;52;TOWER
86;47;N/A
87;47;TOWER
86;47;TOWER
87;47;TOWER
87;46;TOWER
87;46;TOWER
87;47;TOWER
87;47;TOWER
87;46;TOWER
87;46;TOWER
87;46;TOWER
87;47;TOWER
87;46;MAST
87;47;TOWER
86;46;N/A
86;46;N/A
86;46;N/A
87;46;N/A
86;47;N/A
86;46;N/A
86;46;N/A
86;46;N/A
87;47;N/A
86;46;N/A
87;47;TOWER
86;46;TOWER
91;48;MAST
91;48;TOWER
91;48;TOWER
92;48;POLE
92;48;MAST
91;48;TOWER
91;48;MAST
91;48;MAST
91;48;TOWER
91;48;TOWER
91;48;TOWER
91;48;TOWER
86;46;N/A
86;46;N/A
86;46;MAST
86;45;N/A
86;46;TOWER
86;46;N/A
86;45;N/A
86;45;N/A
86;45;N/A
79;51;POLE
79;52;MAST
79;52;TOWER
79;52;MAST
99;55;TOWER
99;55;TOWER
99;55;MAST
99;55;TOWER
82;58;N/A
83;58;TOWER
83;58;TOWER
82;58;TOWER
83;57;N/A
82;58;N/A
82;57;N/A
83;57;N/A
82;57;N/A
82;57;TOWER
83;58;TOWER
82;58;N/A
82;58;TANK
83;58;N/A
83;58;N/A
82;58;TOWER
83;58;TOWER
83;58;TOWER
83;58;TOWER
82;58;TOWER
82;58;TOWER
82;58;TOWER
83;58;TOWER
83;58;TOWER
83;58;POLE
83;58;TOWER
82;58;TANK
100;55;TOWER
99;55;TOWER
99;55;TOWER
100;54;TOWER
100;54;TOWER
100;54;TOWER
100;55;TOWER
100;55;TOWER
99;55;MAST
100;54;TOWER
99;55;TOWER
100;55;MAST
